Date;Total Readings
2013-1-1;40.723
2013-1-2;64.126
2013-1-3;72.074
2013-1-4;62.667
2013-1-5;52.361
2013-1-6;64.864
2013-1-7;71.642
2013-1-8;44.558
2013-1-9;26.059
2013-1-10;25.502
2013-1-11;30.559
2013-1-12;6.324
2013-1-13;38.213
2013-1-14;66.168
2013-1-15;71.452
2013-1-16;66.946
2013-1-17;54.321
2013-1-18;50.38
2013-1-19;50.098
2013-1-20;37.176
2013-1-21;20.28
2013-1-22;27.566
2013-1-23;13.861
2013-1-24;9.808
2013-1-25;15.967
2013-1-26;13.661
2013-1-27;14.816
2013-1-28;11.975
2013-1-29;18.656
2013-1-30;11.791
2013-1-31;30.688
2013-2-1;21.897
2013-2-2;14.847
2013-2-3;21.903
2013-2-4;12.545
2013-2-5;7.245
2013-2-6;11.238
2013-2-7;11.471
2013-2-8;14.465
2013-2-9;19.546
2013-2-10;19.172
2013-2-11;28.084
2013-2-12;20.937
2013-2-13;8.689
2013-2-14;30.693
2013-2-15;22.429
2013-2-16;32.624
2013-2-17;38.772
2013-2-18;13.298
2013-2-19;14.096
2013-2-20;11.155
2013-2-21;nan
2013-2-22;19.857
2013-2-23;33.352
2013-2-24;27.603
2013-2-25;17.789
2013-2-26;28.339
2013-2-27;26.367
2013-2-28;31.46
2013-3-1;31.949
2013-3-2;25.25
2013-3-3;32.838
2013-3-4;18.063
2013-3-5;7.799
2013-3-6;35.417
2013-3-7;22.934
2013-3-8;7.544
2013-3-9;10.152
2013-3-10;11.446
2013-3-11;24.884
2013-3-12;16.932
2013-3-13;10.253
2013-3-14;6.159
2013-3-15;10.841
2013-3-16;7.232
2013-3-17;11.257
2013-3-18;26.534
2013-3-19;6.603
2013-3-20;8.059
2013-3-21;5.843
2013-3-22;6.611
2013-3-23;5.863
2013-3-24;7.868
2013-3-25;25.485
2013-3-26;33.463
2013-3-27;26.92
2013-3-28;8.578
2013-3-29;4.954
2013-3-30;nan
2013-3-31;9.261
2013-4-1;20.06
2013-4-2;10.352
2013-4-3;9.558
2013-4-4;15.208
2013-4-5;25.891
2013-4-6;8.788
2013-4-7;6.081
2013-4-8;9.426
2013-4-9;10.296
2013-4-10;8.972
2013-4-11;10.884
2013-4-12;11.681
2013-4-13;14.164
2013-4-14;nan
2013-4-15;23.589
2013-4-16;15.581
2013-4-17;13.703
2013-4-18;6.09
2013-4-19;4.349
2013-4-20;17.685
2013-4-21;5.298
2013-4-22;10.874
2013-4-23;6.71
2013-4-24;4.15
2013-4-25;5.138
2013-4-26;11.152
2013-4-27;10.269
2013-4-28;13.701
2013-4-29;13.828
2013-4-30;nan
2013-5-1;21.961
2013-5-2;13.7
2013-5-3;11.129
2013-5-4;11.56
2013-5-5;10.605
2013-5-6;11.849
2013-5-7;11.842
2013-5-8;24.327
2013-5-9;10.193
2013-5-10;15.667
2013-5-11;13.915
2013-5-12;6.679
2013-5-13;17.012
2013-5-14;20.194
2013-5-15;13.045
2013-5-16;18.475
2013-5-17;33.473
2013-5-18;30.303
2013-5-19;35.294
2013-5-20;27.193
2013-5-21;15.791
2013-5-22;16.522
2013-5-23;21.641
2013-5-24;20.385
2013-5-25;nan
2013-5-26;24.362
2013-5-27;38.712
2013-5-28;33.455
2013-5-29;37.337
2013-5-30;35.777
2013-5-31;nan
2013-6-1;44.93
2013-6-2;22.574
2013-6-3;29.261
2013-6-4;28.817
2013-6-5;27.262
2013-6-6;43.175
2013-6-7;21.443
2013-6-8;26.173
2013-6-9;24.768
2013-6-10;34.329
2013-6-11;35.507
2013-6-12;33.79
2013-6-13;37.073
2013-6-14;42.489
2013-6-15;44.567
2013-6-16;43.156
2013-6-17;36.237
2013-6-18;36.39
2013-6-19;41.449
2013-6-20;41.281
2013-6-21;43.735
2013-6-22;42.535
2013-6-23;36.23
2013-6-24;31.942
2013-6-25;49.821
2013-6-26;46.036
2013-6-27;48.428
2013-6-28;48.891
2013-6-29;47.503
2013-6-30;50.163
2013-7-1;29.003
2013-7-2;36.835
2013-7-3;30.37
2013-7-4;25.44
2013-7-5;42.803
2013-7-6;45.116
2013-7-7;44.923
2013-7-8;33.749
2013-7-9;54.102
2013-7-10;46.844
2013-7-11;48.211
2013-7-12;51.424
2013-7-13;49.97
2013-7-14;40.983
2013-7-15;nan
2013-7-16;30.127
2013-7-17;25.224
2013-7-18;30.323
2013-7-19;38.051
2013-7-20;37.414
2013-7-21;39.375
2013-7-22;39.697
2013-7-23;39.439
2013-7-24;44.952
2013-7-25;43.601
2013-7-26;48.244
2013-7-27;30.871
2013-7-28;33.328
2013-7-29;47.942
2013-7-30;53.516
2013-7-31;nan
2013-8-1;42.156
2013-8-2;39.867
2013-8-3;40.635
2013-8-4;36.735
2013-8-5;37.139
2013-8-6;39.574
2013-8-7;44.537
2013-8-8;48.562
2013-8-9;46.805
2013-8-10;48.454
2013-8-11;48.281
2013-8-12;46.833
2013-8-13;62.968
2013-8-14;51.368
2013-8-15;49.487
2013-8-16;38.297
2013-8-17;39.876
2013-8-18;38.244
2013-8-19;39.07
2013-8-20;35.636
2013-8-21;37.328
2013-8-22;42.093
2013-8-23;49.133
2013-8-24;49.258
2013-8-25;48.439
2013-8-26;41.94
2013-8-27;33.182
2013-8-28;33.487
2013-8-29;42.06
2013-8-30;47.945
2013-8-31;49.881
2013-9-1;51.554
2013-9-2;51.496
2013-9-3;47.454
2013-9-4;50.0
2013-9-5;38.579
2013-9-6;40.829
2013-9-7;42.399
2013-9-8;nan
2013-9-9;34.402
2013-9-10;32.541
2013-9-11;31.299
2013-9-12;38.011
2013-9-13;35.104
2013-9-14;34.409
2013-9-15;44.273
2013-9-16;33.988
2013-9-17;33.147
2013-9-18;43.051
2013-9-19;35.585
2013-9-20;nan
2013-9-21;21.196
2013-9-22;27.98
2013-9-23;18.849
2013-9-24;25.705
2013-9-25;32.702
2013-9-26;33.181
2013-9-27;32.333
2013-9-28;35.2
2013-9-29;23.061
2013-9-30;19.774
2013-10-1;25.984
2013-10-2;32.015
2013-10-3;36.681
2013-10-4;32.43
2013-10-5;26.873
2013-10-6;nan
2013-10-7;14.376
2013-10-8;12.168
2013-10-9;12.821
2013-10-10;17.825
2013-10-11;23.967
2013-10-12;37.507
2013-10-13;30.188
2013-10-14;17.522
2013-10-15;23.472
2013-10-16;7.3
2013-10-17;5.209
2013-10-18;11.701
2013-10-19;6.642
2013-10-20;5.149
2013-10-21;6.403
2013-10-22;10.294
2013-10-23;9.573
2013-10-24;7.152
2013-10-25;6.934
2013-10-26;10.989
2013-10-27;7.505
2013-10-28;10.938
2013-10-29;22.305
2013-10-30;18.31
2013-10-31;16.806
2013-11-1;6.833
2013-11-2;6.358
2013-11-3;10.379
2013-11-4;7.97
2013-11-5;5.961
2013-11-6;12.943
2013-11-7;9.251
2013-11-8;3.919
2013-11-9;4.129
2013-11-10;12.336
2013-11-11;12.482
2013-11-12;7.158
2013-11-13;35.976
2013-11-14;32.73
2013-11-15;13.423
2013-11-16;6.389
2013-11-17;15.828
2013-11-18;5.219
2013-11-19;6.644
2013-11-20;4.978
2013-11-21;9.755
2013-11-22;28.485
2013-11-23;63.289
2013-11-24;68.694
2013-11-25;87.231
2013-11-26;52.356
2013-11-27;43.953
2013-11-28;39.751
2013-11-29;39.495
2013-11-30;22.946
2013-12-1;9.716
2013-12-2;13.651
2013-12-3;3.846
2013-12-4;7.654
2013-12-5;33.564
2013-12-6;76.602
2013-12-7;98.527
2013-12-8;75.611
2013-12-9;68.621
2013-12-10;73.249
2013-12-11;62.682
2013-12-12;56.943
2013-12-13;44.095
2013-12-14;16.547
2013-12-15;14.084
2013-12-16;32.115
2013-12-17;39.526
2013-12-18;35.876
2013-12-19;14.78
2013-12-20;nan
2013-12-21;12.994
2013-12-22;46.457
2013-12-23;51.481
2013-12-24;59.419
2013-12-25;41.672
2013-12-26;nan
2013-12-27;46.11
2013-12-28;29.854
2013-12-29;47.3
2013-12-30;84.883
2013-12-31;61.953
